file;manager;license;author;source;modified
hossam-hassan.jpg;Hossam Hassan;CC BY 3.0;Al AHLY TV;https://commons.wikimedia.org/wiki/File:Hossam_Hassan.png;cropped to the head and resized to 320px
hristo-stoichkov.jpg;Hristo Stoichkov;CC BY-SA 4.0;Biser Todorov;https://commons.wikimedia.org/wiki/File:Stoichkov_in_2016.jpg;cropped to the head and resized to 320px
igor-tudor.jpg;Igor Tudor;CC BY-SA 4.0;Davide Marchiol;https://commons.wikimedia.org/wiki/File:Igor_Tudor_2018.jpg;cropped to the head and resized to 320px
ivica-osim.jpg;Ivica Osim;CC BY 2.0;Radiofabrik Community Media Association Salzburg;https://commons.wikimedia.org/wiki/File:Ivica_Osim_-_SK_Sturm_(1999)_(cropped).jpg;cropped to the head and resized to 320px
jaap-stam.jpg;Jaap Stam;CC BY-SA 3.0;Original: Flovries Derivative work: PeeJay2K3;https://commons.wikimedia.org/wiki/File:Jaap_Stam_met_fan_cropped.jpg;cropped to the head and resized to 320px
jacinto-quincoces.jpg;Jacinto Quincoces;Public domain;Unknown author Unknown author;https://commons.wikimedia.org/wiki/File:Jacinto_Quincoces.jpg;cropped to the head and resized to 320px
javier-aguirre.jpg;Javier Aguirre;CC BY-SA 3.0;Елена Рыбакова;https://commons.wikimedia.org/wiki/File:Javier_Aguirre_in_Moscow.jpg;cropped to the head and resized to 320px
joachim-low.jpg;Joachim Löw;CC BY-SA 4.0;Granada;https://commons.wikimedia.org/wiki/File:20180602_FIFA_Friendly_Match_Austria_vs._Germany_Jogi_L%C3%B6w_850_1386.jpg;cropped to the head and resized to 320px
joachim-streich.jpg;Joachim Streich;CC BY-SA 3.0 de;Bundesarchiv_Bild_183-T0429-0020,_Berlin,_FDGB-Pokal,_1._FC_Magdeburg_mit_Pokal.jpg : Mittelstädt, Rainer derivative wor;https://commons.wikimedia.org/wiki/File:Joachim_Streich_1974.gif;cropped to the head and resized to 320px
johan-cruyff.jpg;Johan Cruyff;CC0;Rob Mieremet / Anefo;https://commons.wikimedia.org/wiki/File:Johan_Cruijff_(1974).jpg;cropped to the head and resized to 320px
jon-dahl-tomasson.jpg;Jon Dahl Tomasson;CC BY-SA 3.0;Vyacheslav Evdokimov;https://commons.wikimedia.org/wiki/File:Dahl_Thomasson_2021_(cropped).jpg;cropped to the head and resized to 320px
jorge-jesus.jpg;Jorge Jesus;CC BY 2.0;Palácio do Planalto;https://commons.wikimedia.org/wiki/File:2020-02-17_Encontro_com_T%C3%A9cnico_do_Flamengo,_Jorge_Jesus_(cropped).jpg;cropped to the head and resized to 320px
jose-mourinho.jpg;José Mourinho;CC BY 4.0;Zafer;https://commons.wikimedia.org/wiki/File:Jos%C3%A9_Mourinho_20250206_(1).jpg;cropped to the head and resized to 320px
josep-samitier.jpg;Josep Samitier;Public domain;Unknown author Unknown author;https://commons.wikimedia.org/wiki/File:Josep_Samitier.jpg;cropped to the head and resized to 320px
julen-lopetegui.jpg;Julen Lopetegui;CC BY-SA 3.0;Original: Кирилл Венедиктов Derivative work: Danyele;https://commons.wikimedia.org/wiki/File:Julen_Lopetegui_2017_(head_shot).jpg;cropped to the head and resized to 320px
julian-nagelsmann.jpg;Julian Nagelsmann;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Julian_Nagelsmann_Ecuador_v_Germany_25_June_2026-047.jpg;cropped to the head and resized to 320px
jupp-derwall.jpg;Jupp Derwall;CC BY-SA 2.0 de;Jürgen Jung ( de:Benutzer:Fotosaar ) / Fotosaar at German Wikipedia;https://commons.wikimedia.org/wiki/File:Derwall1.jpg;cropped to the head and resized to 320px
jupp-heynckes.jpg;Jupp Heynckes;CC BY-SA 3.0;Александр Осипов;https://commons.wikimedia.org/wiki/File:Jupp_Heynckes_(cropped).jpg;cropped to the head and resized to 320px
jurgen-klinsmann.jpg;Jürgen Klinsmann;CC BY 4.0;M. Sadegh Nikgostar;https://commons.wikimedia.org/wiki/File:J%C3%BCrgen_Klinsmann_14021113000678638425063004371092_64131.jpg;cropped to the head and resized to 320px
jurgen-klopp.jpg;Jürgen Klopp;CC BY 4.0;Mehdi Bolourian;https://commons.wikimedia.org/wiki/File:J%C3%BCrgen_Klopp,_Liverpool_vs._Chelsea,_UEFA_Super_Cup_2019-08-14_04.jpg;cropped to the head and resized to 320px
kasper-hjulmand.jpg;Kasper Hjulmand;CC BY-SA 3.0;Вячеслав Евдокимов;https://commons.wikimedia.org/wiki/File:Kasper_Hjulmand_2013_Norsh-Zen.jpg;cropped to the head and resized to 320px
kenny-dalglish.jpg;Kenny Dalglish;CC BY-SA 2.0;Saw from Singapore;https://commons.wikimedia.org/wiki/File:Kenny_Dalglish_2009_Singapore.jpg;cropped to the head and resized to 320px
kenta-hasegawa.jpg;Kenta Hasegawa;CC BY-SA 2.0;TAKA@P.P.R.S;https://commons.wikimedia.org/wiki/File:Kenta_Hasegawa.jpg;cropped to the head and resized to 320px
krasimir-balakov.jpg;Krasimir Balakov;CC BY-SA 4.0;Litexfan;https://commons.wikimedia.org/wiki/File:Krasimir_Balakov_2015_(cropped).JPG;cropped to the head and resized to 320px
kunishige-kamamoto.jpg;Kunishige Kamamoto;CC BY 3.0;Ogiyoshisan;https://commons.wikimedia.org/wiki/File:Kunishige_Kamamoto_IMG_3322_20140110.JPG;cropped to the head and resized to 320px
laszlo-kubala.jpg;László Kubala;CC BY-SA 3.0 nl;Nationaal Archief, Den Haag, Rijksfotoarchief: Fotocollectie Algemeen Nederlands Fotopersbureau (ANEFO), 1945-1989 - neg;https://commons.wikimedia.org/wiki/File:Kubala.jpg;cropped to the head and resized to 320px
laurent-blanc.jpg;Laurent Blanc;CC BY-SA 4.0;Julien Manceau;https://commons.wikimedia.org/wiki/File:Laurent_blanc_11_11_2013_reves_de_Clara.jpg;cropped to the head and resized to 320px
leo-beenhakker.jpg;Leo Beenhakker;CC BY-SA 3.0 nl;Molendijk, Bart / Anefo;https://commons.wikimedia.org/wiki/File:Leo_Beenhakker_1986.jpg;cropped to the head and resized to 320px
leonardo-jardim.jpg;Leonardo Jardim;CC BY-SA 4.0;Louis Dessvignesse;https://commons.wikimedia.org/wiki/File:Leonardo_Jardim_sous_les_couleurs_de_l%27AS_Monaco_en_2017.jpg;cropped to the head and resized to 320px
liam-rosenior.jpg;Liam Rosenior;CC BY 2.0;James Boyes from UK;https://commons.wikimedia.org/wiki/File:Liam_Rosenior_Lewes_0_BHA_0_18_July_2015.jpg;cropped to the head and resized to 320px
